[INFO] l2p.py:357 > Train | Sample # 720 | train_loss 3.6996 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:09 | ETA 1:19:14
[INFO] l2p.py:357 > Train | Sample # 736 | train_loss 3.8329 | train_acc 0.1250 | lr 0.002999 | running_time 0:01:10 | ETA 1:18:59
[INFO] l2p.py:357 > Train | Sample # 752 | train_loss 3.3692 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:11 | ETA 1:18:19
[INFO] l2p.py:357 > Train | Sample # 768 | train_loss 4.7307 | train_acc 0.0000 | lr 0.003000 | running_time 0:01:13 | ETA 1:18:07
[INFO] l2p.py:357 > Train | Sample # 784 | train_loss 3.5662 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:14 | ETA 1:18:18
[INFO] l2p.py:357 > Train | Sample # 800 | train_loss 3.2800 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:16 | ETA 1:18:05
[INFO] l2p.py:357 > Train | Sample # 816 | train_loss 3.7785 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:17 | ETA 1:17:31
[INFO] l2p.py:357 > Train | Sample # 832 | train_loss 3.3203 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:18 | ETA 1:17:01
[INFO] l2p.py:357 > Train | Sample # 848 | train_loss 3.4993 | train_acc 0.1250 | lr 0.002998 | running_time 0:01:19 | ETA 1:17:08
[INFO] l2p.py:357 > Train | Sample # 864 | train_loss 3.2436 | train_acc 0.0625 | lr 0.002998 | running_time 0:01:21 | ETA 1:17:20
[INFO] l2p.py:357 > Train | Sample # 880 | train_loss 3.5385 | train_acc 0.0000 | lr 0.002998 | running_time 0:01:22 | ETA 1:17:10
[INFO] l2p.py:357 > Train | Sample # 896 | train_loss 3.1782 | train_acc 0.0000 | lr 0.002997 | running_time 0:01:24 | ETA 1:16:59
[INFO] l2p.py:357 > Train | Sample # 912 | train_loss 3.1778 | train_acc 0.0625 | lr 0.002997 | running_time 0:01:24 | ETA 1:16:11
[INFO] l2p.py:357 > Train | Sample # 928 | train_loss 4.9447 | train_acc 0.0000 | lr 0.003000 | running_time 0:01:25 | ETA 1:15:39
[INFO] l2p.py:357 > Train | Sample # 944 | train_loss 3.5885 | train_acc 0.1250 | lr 0.002999 | running_time 0:01:26 | ETA 1:15:20
[INFO] l2p.py:357 > Train | Sample # 960 | train_loss 3.6830 | train_acc 0.0000 | lr 0.002999 | running_time 0:01:27 | ETA 1:14:52
[INFO] l2p.py:357 > Train | Sample # 976 | train_loss 4.5859 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:29 | ETA 1:14:49
[INFO] l2p.py:357 > Train | Sample # 992 | train_loss 4.5459 | train_acc 0.0625 | lr 0.003000 | running_time 0:01:31 | ETA 1:14:57
