[INFO] l2p.py:374 > Train | Sample # 1328 | train_loss 3.4868 | train_acc 0.0625 | lr 0.009995 | running_time 0:02:02 | ETA 1:14:35
[INFO] l2p.py:374 > Train | Sample # 1344 | train_loss 3.9017 | train_acc 0.0000 | lr 0.009994 | running_time 0:02:03 | ETA 1:14:30
[INFO] l2p.py:374 > Train | Sample # 1360 | train_loss 3.1448 | train_acc 0.0625 | lr 0.009993 | running_time 0:02:04 | ETA 1:14:24
[INFO] l2p.py:374 > Train | Sample # 1376 | train_loss 3.7876 | train_acc 0.0625 | lr 0.009992 | running_time 0:02:06 | ETA 1:14:18
[INFO] l2p.py:374 > Train | Sample # 1392 | train_loss 3.3694 | train_acc 0.0625 | lr 0.009991 | running_time 0:02:07 | ETA 1:14:12
[INFO] l2p.py:374 > Train | Sample # 1408 | train_loss 3.6408 | train_acc 0.0000 | lr 0.009999 | running_time 0:02:08 | ETA 1:14:07
[INFO] l2p.py:374 > Train | Sample # 1424 | train_loss 4.0433 | train_acc 0.1250 | lr 0.009998 | running_time 0:02:10 | ETA 1:14:01
[INFO] l2p.py:374 > Train | Sample # 1440 | train_loss 3.6830 | train_acc 0.1250 | lr 0.009997 | running_time 0:02:11 | ETA 1:13:56
[INFO] l2p.py:374 > Train | Sample # 1456 | train_loss 3.3209 | train_acc 0.0000 | lr 0.009996 | running_time 0:02:12 | ETA 1:13:51
[INFO] l2p.py:374 > Train | Sample # 1472 | train_loss 3.6191 | train_acc 0.0625 | lr 0.009995 | running_time 0:02:14 | ETA 1:13:46
[INFO] l2p.py:374 > Train | Sample # 1488 | train_loss 3.6870 | train_acc 0.1250 | lr 0.009994 | running_time 0:02:15 | ETA 1:13:41
[INFO] l2p.py:374 > Train | Sample # 1504 | train_loss 3.5326 | train_acc 0.0625 | lr 0.009993 | running_time 0:02:16 | ETA 1:13:36
[INFO] l2p.py:374 > Train | Sample # 1520 | train_loss 3.4343 | train_acc 0.1250 | lr 0.009992 | running_time 0:02:18 | ETA 1:13:31
[INFO] l2p.py:374 > Train | Sample # 1536 | train_loss 3.4641 | train_acc 0.0625 | lr 0.009991 | running_time 0:02:19 | ETA 1:13:26
[INFO] l2p.py:374 > Train | Sample # 1552 | train_loss 3.4301 | train_acc 0.0625 | lr 0.009990 | running_time 0:02:21 | ETA 1:13:22
[INFO] l2p.py:374 > Train | Sample # 1568 | train_loss 3.8390 | train_acc 0.0625 | lr 0.009989 | running_time 0:02:22 | ETA 1:13:17
[INFO] l2p.py:374 > Train | Sample # 1584 | train_loss 4.1897 | train_acc 0.0000 | lr 0.009988 | running_time 0:02:23 | ETA 1:13:12
[INFO] l2p.py:374 > Train | Sample # 1600 | train_loss 9.0568 | train_acc 0.0000 | lr 0.009999 | running_time 0:02:25 | ETA 1:13:08
[INFO] l2p.py:374 > Train | Sample # 1616 | train_loss 3.3383 | train_acc 0.0625 | lr 0.009998 | running_time 0:02:26 | ETA 1:13:03
[INFO] l2p.py:374 > Train | Sample # 1632 | train_loss 3.0830 | train_acc 0.1250 | lr 0.009997 | running_time 0:02:27 | ETA 1:12:59
[INFO] l2p.py:374 > Train | Sample # 1648 | train_loss 3.2281 | train_acc 0.0000 | lr 0.009996 | running_time 0:02:29 | ETA 1:12:55
[INFO] l2p.py:374 > Train | Sample # 1664 | train_loss 3.2885 | train_acc 0.0000 | lr 0.009995 | running_time 0:02:30 | ETA 1:12:50
[INFO] l2p.py:374 > Train | Sample # 1680 | train_loss 3.2174 | train_acc 0.0625 | lr 0.009994 | running_time 0:02:31 | ETA 1:12:46
[INFO] l2p.py:374 > Train | Sample # 1696 | train_loss 3.4629 | train_acc 0.0625 | lr 0.009999 | running_time 0:02:33 | ETA 1:12:42
[INFO] l2p.py:374 > Train | Sample # 1712 | train_loss 3.6128 | train_acc 0.0625 | lr 0.009998 | running_time 0:02:34 | ETA 1:12:38
[INFO] l2p.py:374 > Train | Sample # 1728 | train_loss 3.2090 | train_acc 0.0000 | lr 0.009997 | running_time 0:02:35 | ETA 1:12:33
[INFO] l2p.py:374 > Train | Sample # 1744 | train_loss 3.8148 | train_acc 0.0625 | lr 0.009996 | running_time 0:02:37 | ETA 1:12:30
[INFO] l2p.py:374 > Train | Sample # 1760 | train_loss 3.3561 | train_acc 0.0625 | lr 0.009995 | running_time 0:02:38 | ETA 1:12:25
[INFO] l2p.py:374 > Train | Sample # 1776 | train_loss 3.1927 | train_acc 0.0625 | lr 0.009994 | running_time 0:02:39 | ETA 1:12:22
[INFO] l2p.py:374 > Train | Sample # 1792 | train_loss 3.5172 | train_acc 0.0000 | lr 0.009993 | running_time 0:02:41 | ETA 1:12:18
[INFO] l2p.py:374 > Train | Sample # 1808 | train_loss 3.4903 | train_acc 0.0625 | lr 0.009999 | running_time 0:02:42 | ETA 1:12:14
[INFO] l2p.py:374 > Train | Sample # 1824 | train_loss 3.5207 | train_acc 0.0000 | lr 0.009998 | running_time 0:02:43 | ETA 1:12:10
[INFO] l2p.py:374 > Train | Sample # 1840 | train_loss 3.5901 | train_acc 0.0000 | lr 0.009997 | running_time 0:02:45 | ETA 1:12:06
[INFO] l2p.py:374 > Train | Sample # 1856 | train_loss 3.6845 | train_acc 0.0000 | lr 0.009996 | running_time 0:02:46 | ETA 1:12:03
[INFO] l2p.py:374 > Train | Sample # 1872 | train_loss 3.8096 | train_acc 0.0000 | lr 0.009995 | running_time 0:02:48 | ETA 1:11:59
[INFO] l2p.py:374 > Train | Sample # 1888 | train_loss 3.2221 | train_acc 0.0000 | lr 0.009994 | running_time 0:02:49 | ETA 1:11:55
[INFO] l2p.py:374 > Train | Sample # 1904 | train_loss 3.1512 | train_acc 0.0000 | lr 0.009993 | running_time 0:02:50 | ETA 1:11:52
[INFO] l2p.py:374 > Train | Sample # 1920 | train_loss 3.0462 | train_acc 0.0000 | lr 0.009992 | running_time 0:02:52 | ETA 1:11:48
[INFO] l2p.py:374 > Train | Sample # 1936 | train_loss 2.9842 | train_acc 0.1250 | lr 0.009991 | running_time 0:02:53 | ETA 1:11:45
[INFO] l2p.py:374 > Train | Sample # 1952 | train_loss 3.6502 | train_acc 0.0000 | lr 0.009990 | running_time 0:02:54 | ETA 1:11:41
[INFO] l2p.py:374 > Train | Sample # 1968 | train_loss 3.3139 | train_acc 0.0625 | lr 0.009989 | running_time 0:02:56 | ETA 1:11:38
[INFO] l2p.py:374 > Train | Sample # 1984 | train_loss 2.9366 | train_acc 0.1250 | lr 0.009988 | running_time 0:02:57 | ETA 1:11:34
[INFO] l2p.py:374 > Train | Sample # 2000 | train_loss 3.6701 | train_acc 0.0000 | lr 0.009999 | running_time 0:02:58 | ETA 1:11:31
[INFO] l2p.py:374 > Train | Sample # 2016 | train_loss 3.6505 | train_acc 0.0625 | lr 0.009998 | running_time 0:03:00 | ETA 1:11:27
[INFO] l2p.py:374 > Train | Sample # 2032 | train_loss 3.5239 | train_acc 0.0000 | lr 0.009997 | running_time 0:03:01 | ETA 1:11:25
[INFO] l2p.py:374 > Train | Sample # 2048 | train_loss 3.0983 | train_acc 0.0625 | lr 0.009996 | running_time 0:03:02 | ETA 1:11:21
[INFO] l2p.py:374 > Train | Sample # 2064 | train_loss 3.2364 | train_acc 0.1250 | lr 0.009995 | running_time 0:03:04 | ETA 1:11:18
[INFO] l2p.py:374 > Train | Sample # 2080 | train_loss 3.0525 | train_acc 0.0000 | lr 0.009994 | running_time 0:03:05 | ETA 1:11:15
[INFO] l2p.py:374 > Train | Sample # 2096 | train_loss 3.6783 | train_acc 0.1250 | lr 0.009993 | running_time 0:03:06 | ETA 1:11:11
[INFO] l2p.py:374 > Train | Sample # 2112 | train_loss 3.1124 | train_acc 0.1875 | lr 0.009992 | running_time 0:03:08 | ETA 1:11:08
[INFO] l2p.py:374 > Train | Sample # 2128 | train_loss 3.3510 | train_acc 0.0625 | lr 0.009991 | running_time 0:03:09 | ETA 1:11:05
[INFO] l2p.py:374 > Train | Sample # 2144 | train_loss 3.2417 | train_acc 0.0625 | lr 0.009990 | running_time 0:03:10 | ETA 1:11:02
[INFO] l2p.py:374 > Train | Sample # 2160 | train_loss 3.1902 | train_acc 0.0000 | lr 0.009989 | running_time 0:03:12 | ETA 1:10:59
[INFO] l2p.py:374 > Train | Sample # 2176 | train_loss 3.5839 | train_acc 0.0000 | lr 0.009988 | running_time 0:03:13 | ETA 1:10:49
[INFO] l2p.py:374 > Train | Sample # 2192 | train_loss 3.1261 | train_acc 0.0000 | lr 0.009987 | running_time 0:03:15 | ETA 1:10:53
[INFO] l2p.py:374 > Train | Sample # 2208 | train_loss 3.4562 | train_acc 0.0000 | lr 0.009986 | running_time 0:03:16 | ETA 1:10:50
[INFO] l2p.py:374 > Train | Sample # 2224 | train_loss 3.7641 | train_acc 0.0000 | lr 0.009985 | running_time 0:03:17 | ETA 1:10:47
[INFO] l2p.py:374 > Train | Sample # 2240 | train_loss 3.1888 | train_acc 0.0625 | lr 0.009984 | running_time 0:03:19 | ETA 1:10:44
[INFO] l2p.py:374 > Train | Sample # 2256 | train_loss 3.3946 | train_acc 0.0000 | lr 0.009983 | running_time 0:03:20 | ETA 1:10:41
[INFO] l2p.py:374 > Train | Sample # 2272 | train_loss 3.2248 | train_acc 0.0000 | lr 0.009982 | running_time 0:03:21 | ETA 1:10:38
[INFO] l2p.py:374 > Train | Sample # 2288 | train_loss 3.0148 | train_acc 0.0625 | lr 0.009981 | running_time 0:03:23 | ETA 1:10:36
[INFO] l2p.py:374 > Train | Sample # 2304 | train_loss 3.2118 | train_acc 0.1250 | lr 0.009999 | running_time 0:03:24 | ETA 1:10:33
[INFO] l2p.py:374 > Train | Sample # 2320 | train_loss 3.0296 | train_acc 0.0000 | lr 0.009998 | running_time 0:03:25 | ETA 1:10:30
[INFO] l2p.py:374 > Train | Sample # 2336 | train_loss 3.3728 | train_acc 0.0000 | lr 0.009999 | running_time 0:03:27 | ETA 1:10:27
[INFO] l2p.py:374 > Train | Sample # 2352 | train_loss 3.2697 | train_acc 0.0625 | lr 0.009998 | running_time 0:03:28 | ETA 1:10:17
[INFO] l2p.py:374 > Train | Sample # 2368 | train_loss 3.5818 | train_acc 0.0000 | lr 0.009997 | running_time 0:03:29 | ETA 1:10:21
[INFO] l2p.py:374 > Train | Sample # 2384 | train_loss 3.1170 | train_acc 0.0625 | lr 0.009996 | running_time 0:03:31 | ETA 1:10:18
[INFO] l2p.py:374 > Train | Sample # 2400 | train_loss 3.3511 | train_acc 0.0000 | lr 0.009995 | running_time 0:03:32 | ETA 1:10:16
[INFO] l2p.py:374 > Train | Sample # 2416 | train_loss 3.2158 | train_acc 0.0000 | lr 0.009994 | running_time 0:03:33 | ETA 1:10:13
[INFO] l2p.py:374 > Train | Sample # 2432 | train_loss 2.9723 | train_acc 0.0625 | lr 0.009993 | running_time 0:03:35 | ETA 1:10:10
[INFO] l2p.py:374 > Train | Sample # 2448 | train_loss 3.0650 | train_acc 0.0000 | lr 0.009992 | running_time 0:03:36 | ETA 1:10:07
[INFO] l2p.py:374 > Train | Sample # 2464 | train_loss 3.5319 | train_acc 0.0625 | lr 0.009991 | running_time 0:03:37 | ETA 1:09:59
[INFO] l2p.py:374 > Train | Sample # 2480 | train_loss 2.9849 | train_acc 0.0625 | lr 0.009990 | running_time 0:03:39 | ETA 1:10:04
[INFO] l2p.py:374 > Train | Sample # 2496 | train_loss 3.3933 | train_acc 0.0625 | lr 0.009999 | running_time 0:03:40 | ETA 1:10:00
[INFO] l2p.py:374 > Train | Sample # 2512 | train_loss 3.3350 | train_acc 0.0625 | lr 0.009998 | running_time 0:03:42 | ETA 1:09:57
[INFO] l2p.py:374 > Train | Sample # 2528 | train_loss 3.1596 | train_acc 0.0000 | lr 0.009997 | running_time 0:03:43 | ETA 1:09:54
[INFO] l2p.py:374 > Train | Sample # 2544 | train_loss 3.1616 | train_acc 0.1250 | lr 0.009996 | running_time 0:03:44 | ETA 1:09:52
[INFO] l2p.py:374 > Train | Sample # 2560 | train_loss 3.7080 | train_acc 0.0625 | lr 0.009995 | running_time 0:03:46 | ETA 1:09:50
[INFO] l2p.py:374 > Train | Sample # 2576 | train_loss 3.1311 | train_acc 0.0625 | lr 0.009994 | running_time 0:03:47 | ETA 1:09:47
[INFO] l2p.py:374 > Train | Sample # 2592 | train_loss 3.0755 | train_acc 0.0625 | lr 0.009993 | running_time 0:03:48 | ETA 1:09:45
